ts,balance_before,stake,trade_result,shares,cost,close_usdc,pnl,balance_after,settle_wait,balance_unconfirmed
2026-06-20T16:20:04Z,35.914309,5,done,6.265819,5.022757,6.19307,1.170313,37.084622,0.88,False
2026-06-20T16:25:02Z,37.084622,5,done,8.389829,5.092059,7.303151,2.211092,39.295714,0.85,False
2026-06-20T16:30:01Z,39.295714,5,done,9.0,5.10592,8.90377,3.79785,43.093564,2.34,False
2026-06-20T16:35:04Z,43.093564,5,done,7.388058,5.064338,7.37211,2.307772,45.401336,2.55,False
2026-06-20T16:40:02Z,45.401336,5,done,8.53448,5.095518,8.4289,3.333382,48.734718,1.8,False
2026-06-20T16:45:00Z,48.734718,5,done,8.389829,5.092059,8.30488,3.212821,51.947539,2.37,False
2026-06-20T16:52:49Z,51.947539,5,done,7.173912,5.057409,0.009829,-5.04758,46.899959,1.51,False
2026-06-20T16:55:02Z,46.899959,5,done,7.388057,5.064338,6.75158,1.687242,48.587201,1.53,False
2026-06-20T17:00:10Z,48.587201,5,done,7.734375,5.07474,0,0,40.099579,2.21,False
2026-06-20T17:05:03Z,40.099579,5,done,6.780818,5.043547,6.70751,1.663963,41.763542,1.73,False
2026-06-20T17:10:01Z,41.763542,5,done,7.983868,5.081658,7.895488,2.81383,44.577372,2.89,False
2026-06-20T17:15:04Z,44.577372,5,done,8.53448,5.095518,8.4289,3.333382,47.910754,2.29,False
2026-06-20T17:20:07Z,47.910754,5,done,6.971827,5.050477,6.90995,1.859473,49.770227,2.26,False
2026-06-20T17:25:00Z,49.770227,5,done,8.114753,5.085129,6.970091,1.884962,51.655189,1.53,False
2026-06-20T17:34:19Z,51.655189,5,done,8.389829,5.092059,2.043329,-3.04873,48.606459,1.58,False
2026-06-20T17:40:03Z,48.606459,5,done,5.755807,4.998494,5.74385,0.745356,49.351815,3.77,False
2026-06-20T17:45:11Z,49.351815,5,no_entry_timeout,0,0,0,0,49.361644,0,None
2026-06-20T17:50:04Z,49.361644,5,done,7.5,5.06781,7.41981,2.352,51.713644,2.47,False
2026-06-20T17:55:02Z,51.713644,5,done,8.53448,5.095518,0.0793,-5.016218,46.697426,0.84,False
2026-06-20T18:00:05Z,46.697426,5,done,7.734375,5.07474,3.11479,-1.95995,44.737476,1.84,False
2026-06-20T18:05:03Z,44.737476,5,done,7.734375,5.07474,7.651725,2.576985,47.314461,0.93,False
2026-06-20T18:10:12Z,47.314461,5,done,8.389829,5.092059,0,-15.001045,32.313416,2.95,False
2026-06-20T18:15:00Z,32.313416,5,done,5.823526,5.001967,0.05417,-4.947797,27.365619,2.17,False
