ts,balance_before,stake,trade_result,shares,cost,close_usdc,pnl,balance_after,settle_wait,balance_unconfirmed
2026-06-20T18:51:08Z,16.159183,5,done,8.25,5.0886,16.5,11.4114,27.570583,1.6,False
2026-06-20T18:56:37Z,27.570583,5,done,8.839284,5.102449,0,-5.102449,31.307418,0.84,False
2026-06-20T19:01:35Z,31.307418,5,done,8.53448,5.095518,0,-5.095518,26.211900,0.85,False
2026-06-20T19:06:33Z,34.746380,5,done,7.071426,5.053938,0,-5.053938,29.692442,1.53,False
2026-06-20T19:11:36Z,29.692442,5,done,10.3125,5.13018,7.071426,1.941246,31.633688,2.29,False
