ts,balance_before,stake,trade_result,shares,cost,close_usdc,pnl,balance_after,settle_wait,balance_unconfirmed
2026-06-20T15:39:56Z,31.567916,5,done,7.071426,5.053938,6.54289,1.488952,33.056868,0.88,False
2026-06-20T15:44:50Z,33.056868,5,done,7.85714,5.078198,7.01555,1.937352,34.994220,2.42,False
2026-06-20T15:45:18Z,34.994220,5,done,7.615382,5.071268,4.67013,-0.401138,34.593082,1.67,False
2026-06-20T15:45:30Z,34.593082,5,done,0.005382,0,0,0.0,29.559935,0.16,False
2026-06-20T15:45:42Z,29.559935,5,done,6.518536,0,0,0,28.696876,0.17,False
2026-06-20T15:49:45Z,28.696876,5,done,7.182448,0,0,0,30.042378,0.17,False
