ts,balance_before,stake,trade_result,shares,cost,close_usdc,pnl,balance_after,settle_wait,balance_unconfirmed
2026-06-20T15:59:46Z,33.525441,5,done,6.34615,5.026217,5.39897,0.372753,33.898194,0.89,False
2026-06-20T16:00:23Z,33.898194,5,done,7.388057,5.064338,5.05752,-0.006818,33.891376,1.55,False
2026-06-20T16:00:46Z,33.891376,5,done,5.322571,4.974241,4.92336,-0.050881,33.840495,2.42,False
2026-06-20T16:01:03Z,33.840495,5,done,5.210520000000001,4.967314,4.93218,-0.035134,33.805361,2.27,False
2026-06-20T16:01:21Z,33.805361,5,done,5.15625,4.96386,4.87538,-0.08848,33.716881,1.0,False
2026-06-20T16:01:38Z,33.716881,5,done,5.103066,4.960364,4.87272,-0.087644,33.629237,3.01,False
2026-06-20T16:01:55Z,33.629237,5,done,5.103066,4.960364,4.81858,-0.141784,33.487453,2.29,False
2026-06-20T16:02:12Z,33.487453,5,done,5.210520000000001,4.967314,4.82156,-0.145754,33.341699,0.91,False
